"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\MACHINE\GG\rc\src\core\constants.rs", "Rust", 8, 14, 8, 30
"c:\Users\MACHINE\GG\rc\src\core\math.rs", "Rust", 22, 4, 5, 31
"c:\Users\MACHINE\GG\rc\src\debug\metrics.rs", "Rust", 55, 1, 8, 64
"c:\Users\MACHINE\GG\rc\src\debug\statistics.rs", "Rust", 149, 9, 19, 177
"c:\Users\MACHINE\GG\rc\src\debug\timings.rs", "Rust", 63, 5, 9, 77
"c:\Users\MACHINE\GG\rc\src\gpu_api\attach.rs", "Rust", 225, 10, 26, 261
"c:\Users\MACHINE\GG\rc\src\gpu_api\bind.rs", "Rust", 159, 1, 35, 195
"c:\Users\MACHINE\GG\rc\src\gpu_api\color.rs", "Rust", 134, 2, 31, 167
"c:\Users\MACHINE\GG\rc\src\gpu_api\pass.rs", "Rust", 256, 6, 48, 310
"c:\Users\MACHINE\GG\rc\src\gpu_api\utils.rs", "Rust", 95, 19, 20, 134
"c:\Users\MACHINE\GG\rc\src\gpu_passes\dist_field.rs", "Rust", 18, 2, 5, 25
"c:\Users\MACHINE\GG\rc\src\gpu_passes\dist_jfa_loop.rs", "Rust", 85, 4, 15, 104
"c:\Users\MACHINE\GG\rc\src\gpu_passes\dist_jfa_seed.rs", "Rust", 22, 0, 6, 28
"c:\Users\MACHINE\GG\rc\src\gpu_passes\draw.rs", "Rust", 74, 1, 14, 89
"c:\Users\MACHINE\GG\rc\src\gpu_passes\output.rs", "Rust", 33, 0, 7, 40
"c:\Users\MACHINE\GG\rc\src\gpu_passes\plugin.rs", "Rust", 55, 0, 9, 64
"c:\Users\MACHINE\GG\rc\src\gpu_passes\rc_dense.rs", "Rust", 126, 6, 20, 152
"c:\Users\MACHINE\GG\rc\src\gpu_passes\rc_sparse.rs", "Rust", 48, 4, 9, 61
"c:\Users\MACHINE\GG\rc\src\gpu_passes\reset.rs", "Rust", 40, 1, 6, 47
"c:\Users\MACHINE\GG\rc\src\gpu_resources\mouse_trail.rs", "Rust", 139, 14, 19, 172
"c:\Users\MACHINE\GG\rc\src\gpu_resources\slab.rs", "Rust", 44, 4, 9, 57
"c:\Users\MACHINE\GG\rc\src\gpu_resources\textures.rs", "Rust", 172, 8, 17, 197
"c:\Users\MACHINE\GG\rc\src\gpu_resources\uniforms.rs", "Rust", 140, 6, 13, 159
"c:\Users\MACHINE\GG\rc\src\lib.rs", "Rust", 39, 8, 6, 53
"c:\Users\MACHINE\GG\rc\src\main.rs", "Rust", 17, 10, 3, 30
"c:\Users\MACHINE\GG\rc\src\utils\extensions.rs", "Rust", 60, 0, 14, 74
"c:\Users\MACHINE\GG\rc\src\utils\launch.rs", "Rust", 19, 0, 1, 20
"c:\Users\MACHINE\GG\rc\src\utils\save_load.rs", "Rust", 175, 5, 24, 204
"Total", "-", 2472, 144, 406, 3022
